ID2,Sector,ID,Subsector,P1,P2,cluster
71,"Arts, Entertainment, and Recreation",711A00,Promoters of performing arts and sports and agents for public figures OR Promoters of performing arts and sports and agents for public figures,4.215827,-1.8091782,0
33,Manufacturing,332410,Power boiler and heat exchanger manufacturing OR Power boiler and heat exchanger manufacturing,7.896341,5.9986925,0
31,Manufacturing,311820,"Cookie, cracker and pasta manufacturing OR Cookie, cracker and pasta manufacturing",7.0519195,8.428714,0
33,Manufacturing,335120,Lighting fixture manufacturing OR Lighting fixture manufacturing,7.494077,5.7050834,0
33,Manufacturing,333618,Other engine equipment manufacturing OR Other engine equipment manufacturing,5.0966673,0.25614446,0
32,Manufacturing,326122,Plastics Pipe and Pipe Fitting Manufacturing OR Plastics Pipe and Pipe Fitting Manufacturing,-2.7472315,-7.930541,0
33,Manufacturing,335930,Wiring device manufacturing OR Wiring device manufacturing,4.7105227,-0.33394858,0
51,Information,5111A0,"Directory, mailing list, and other publishers OR Directory, mailing list, and other publishers",4.6122537,-1.9726933,0
31,Manufacturing,313220,Narrow fabric mills and schiffli embroidery OR Narrow fabric mills and schiffli embroidery,6.7048035,12.331504,0
33,Manufacturing,33399A,Fluid power process machinery OR Fluid power process machinery,6.2810717,1.892193,0
31,Manufacturing,311810,Bread and bakery product manufacturing OR Bread and bakery product manufacturing,16.570879,12.141622,0
33,Manufacturing,334210,Telephone apparatus manufacturing OR Telephone apparatus manufacturing,16.537374,11.72224,0
32,Manufacturing,323120,Support activities for printing OR Support activities for printing,5.6542673,0.6065951,0
33,Manufacturing,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing OR Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",7.8482265,4.98722,0
31,Manufacturing,311930,Flavoring syrup and concentrate manufacturing OR Flavoring syrup and concentrate manufacturing,6.318577,13.373418,0
31,Manufacturing,315210,Cut and sew apparel contractors OR Cut and sew apparel contractors,7.7354064,6.9772067,0
33,Manufacturing,336413,Other aircraft parts and equipment OR Other aircraft parts and equipment,9.379495,8.102944,0
33,Manufacturing,335110,Electric lamp bulb and part manufacturing OR Electric lamp bulb and part manufacturing,8.882206,5.598925,0
81,Other Services (except Public Administration),812900,Other personal services OR Other personal services,13.673452,7.604485,0
33,Manufacturing,332420,"Metal tank, heavy gauge, manufacturing OR Metal tank, heavy gauge, manufacturing",10.808021,10.413087,0
71,"Arts, Entertainment, and Recreation",711500,"Independent artists, writers, and performers OR Independent artists, writers, and performers",13.120142,6.668845,0
33,Manufacturing,336611,Ship building and repairing OR Ship building and repairing,6.949188,2.625465,0
51,Information,511200,Software publishers OR Software publishers,9.690137,2.2838702,0
51,Information,516110,Internet publishing and broadcasting OR Internet publishing and broadcasting,14.642858,7.9860425,0
31,Manufacturing,312110,Soft drink and ice manufacturing OR Soft drink and ice manufacturing,8.04603,13.704191,0
33,Manufacturing,337215,"Showcases, partitions, shelving, and lockers OR Showcases, partitions, shelving, and lockers",7.780093,13.24841,0
33,Manufacturing,335313,Switchgear and switchboard apparatus manufacturing OR Switchgear and switchboard apparatus manufacturing,9.85793,7.314862,0
51,Information,518100,Internet service providers and web search portals OR Internet service providers and web search portals,9.258712,1.9641644,0
33,Manufacturing,33399B,Process and oven not fluid power machinery OR Process and oven not fluid power machinery,7.8326607,2.4852438,0
54,"Professional, Scientific, and Technical Services",541940,Veterinary services OR Veterinary services,19.83754,18.825682,0
33,Manufacturing,337110,Wood kitchen cabinet and countertop manufacturing OR Wood kitchen cabinet and countertop manufacturing,6.687778,12.935508,0
33,Manufacturing,339940,Office supplies (except paper) manufacturing OR Office supplies (except paper) manufacturing,9.333968,6.9751844,0
33,Manufacturing,33221A,"Cutlery, utensils, pots, and pans manufacturing OR Cutlery, utensils, pots, and pans manufacturing",15.180575,13.61374,0
