,ID,Subsector_x,CO t,NH3 t,NOx t,PM10 t,PM 2.5 t,SO2 t,VOC t,Subsector_y,CO2 t CO2e,CH4 t CO2e,N2O t CO2e,Other GHGs t CO2e
160,332991,Ball And Roller Bearings,1.01,0.003,0.165,0.016,0.096,0.014,1.58,Ball and roller bearing manufacturing,1980.0,0.0,0.0,0.0
161,332320,"Metal Windows, Doors, And Architectural Products",0.931,0.008,0.754,0.199,0.264,0.125,8.58,Ornamental and architectural metail products manufacturing,8270.0,0.0,0.0,0.0
162,327910,Abrasive Products,0.871,0.01,0.894,0.429,0.347,1.98,0.778,Abrasive product manufacturing,3250.0,1350.0,0.0,0.0
163,481000,Air Transport,0.854,0.002,0.243,0.011,0.142,0.017,24.3,Air transportation,502000.0,0.0,0.0,0.0
164,523900,"Investment Advice, Portfolio Management, And Other Financial Advising Services",0.854,0.0,0.047,0.0,0.003,0.0,0.038,,,,,
165,533000,Lessors Of Nonfinancial Intangible Assets,0.838,0.0,0.042,0.0,0.003,0.0,0.038,Lessors of nonfinancial intangible assets,26500.0,0.0,0.0,0.0
166,327320,Ready-Mix Concrete,0.828,0.002,0.608,1.75,0.794,0.151,0.12,Ready-mix concrete manufacturing,2700.0,0.0,0.0,0.0
167,311615,Packaged Poultry,0.8,0.347,0.525,0.127,0.13,0.53,0.119,Poultry processing,8320.0,0.0,0.0,0.0
168,326130,Laminated Plastic Plates And Shapes,0.765,0.01,0.304,0.013,0.128,0.089,2.64,"Laminated plastics plate, sheet, and shapes",2700.0,0.0,0.0,0.0
169,524200,Insurance Agencies And Brokerages,0.737,0.0,0.04,0.001,0.005,0.0,0.035,"Insurance agencies, brokerages, and related",1950.0,0.0,0.0,0.0
170,33331A,"Vending, Commercial Laundry, And Other Commercial And Service Industry Machinery",0.729,0.001,0.178,0.0,0.01,0.001,0.084,"Vending, commerical, industrial, and office machinery manufacturing",120.0,0.0,0.0,0.0
171,326140,Polystyrene Foam Products,0.7,0.006,0.369,0.014,0.094,0.061,6.83,Polystyrene Foam Product Manufacturing,5830.0,0.0,0.0,0.0
172,327999,Other Nonmetallic Mineral Products,0.689,0.011,0.634,0.187,0.296,0.21,0.291,Miscellaneous nonmetallic mineral products,838.0,0.0,0.0,0.0
173,311420,Fruit And Vegetable Preservation,0.669,0.011,0.353,0.037,0.115,0.353,0.355,"Fruit and vegetable canning, pickling and drying",16800.0,0.0,0.0,0.0
174,332720,"Screws, Nuts, And Bolts",0.608,0.004,0.273,0.043,0.09,0.008,4.61,"Turned product and screw, nut, and bolt manufacturing",3370.0,0.0,0.0,0.0
175,336320,Vehicle Electrical And Electronic Equipment,0.584,0.004,0.259,0.014,0.16,0.029,3.52,,,,,
176,441000,Vehicles And Parts Sales,0.527,0.0,0.026,0.0,0.003,0.0,0.047,,,,,
177,5416A0,Environmental And Other Technical Consulting Services,0.524,0.0,0.028,0.0,0.002,0.002,0.026,Environmental and other technical consulting services,1210.0,0.0,0.0,0.0
178,336500,Railroad Rolling Stock,0.518,0.0,0.755,0.075,0.165,0.014,3.46,Railroad rolling stock manufacturing,1730.0,0.0,0.0,0.0
179,314900,Other Textiles,0.503,0.057,0.246,0.02,0.048,0.094,4.94,,,,,
180,722A00,All Other Food And Drinking Places,0.485,0.012,0.208,0.001,0.025,0.397,0.06,,,,,
181,517210,Wireless Telecommunications,0.482,0.0,0.036,0.0,0.002,0.001,0.024,,,,,
182,323120,Printing Support,0.454,0.002,0.214,0.003,0.013,0.004,0.58,Support activities for printing,547.0,0.0,0.0,0.0
183,326290,Other Rubber Products,0.451,0.005,0.252,0.049,0.173,0.203,1.77,Other rubber product manufacturing,2800.0,0.0,0.0,0.0
184,333618,Other Engine Equipment,0.447,0.002,0.612,0.004,0.05,0.043,0.614,Other engine equipment manufacturing,596.0,0.0,0.0,0.0
185,322291,"Sanitary Paper (Tissues, Napkins, Diapers, Etc.)",0.437,0.013,0.406,0.02,0.076,0.565,0.153,Sanitary paper product manufacturing,7290.0,0.0,0.0,0.0
