,Sector,Subsector,cluster
152,"Professional, Scientific, and Technical Services",Advertising and related services OR Advertising and related services,0
151,"Mining, Quarrying, and Oil and Gas Extraction",Support activities for other mining OR Support activities for other mining,0
150,Manufacturing,Seasoning and dressing manufacturing OR Seasoning and dressing manufacturing,0
149,"Professional, Scientific, and Technical Services",All other miscellaneous professional and technical services OR All other miscellaneous professional and technical services,0
148,"Professional, Scientific, and Technical Services",Management consulting services OR Management consulting services,0
147,"Agriculture, Forestry, Fishing and Hunting","Forest nurseries, forest products, and timber tracts OR Forest nurseries, forest products, and timber tracts",0
146,Manufacturing,Polystyrene Foam Product Manufacturing OR Polystyrene Foam Product Manufacturing,0
145,,Retail trade OR Retail trade,0
119,Manufacturing,Petroleum lubricating oil and grease manufacturing OR Petroleum lubricating oil and grease manufacturing,0
409,Other Services (except Public Administration),Personal care services OR Personal care services,0
